;Date;Arrivals.to.Italy;icon1;moonPhase1;apparentTemperatureMin1;apparentTemperatureMax1;precipType1;precipIntensity1;precipIntensityMax1;temperatureMin1;temperatureMax1;precipProbability1;cloudCover1;dewPoint1;humidity1;windSpeed1;windBearing1;visibility1
60;2015-11-29;0;wind;0.52;50.51;64.18;rain;NA;NA;50.51;64.18;NA;0.09;37.48;0.47;14.2;252;4.53
61;2015-11-30;0;partly-cloudy-night;0.56;55;66;rain;NA;NA;55;66;NA;0.41;44.86;0.57;8.46;259;4.33
62;2015-12-01;0;partly-cloudy-night;0.59;51.33;66;rain;NA;NA;51.33;66;NA;0.31;44.69;0.58;5.8;257;4.71
63;2015-12-02;0;partly-cloudy-night;0.63;41.47;66.99;rain;NA;NA;46;66.99;NA;0.35;45.27;0.64;4.94;315;4.92
64;2015-12-03;1;partly-cloudy-night;0.66;56.16;67.11;rain;NA;NA;56.16;67.11;NA;0.51;50.27;0.62;9.64;333;4.09
65;2015-12-04;1769;clear-day;0.69;54.61;68;rain;NA;NA;54.61;68;NA;0.68;48.94;0.59;7.3;320;4.84
66;2015-12-05;837;partly-cloudy-day;0.72;51.64;64.06;rain;NA;NA;51.64;64.06;NA;0.24;43.62;0.6;5.76;242;5.13
67;2015-12-06;1304;clear-day;0.75;57.78;61.25;rain;NA;NA;57.78;61.25;NA;NA;46.54;0.62;4.53;237;5.14
68;2015-12-07;1003;clear-day;0.78;NA;70;rain;NA;NA;NA;70;NA;NA;48.23;0.6;0.7;239;4.12
69;2015-12-08;0;partly-cloudy-night;0.81;52;65.87;rain;NA;NA;52;65.87;NA;0.89;50.53;0.73;2.9;243;4.4
70;2015-12-09;212;partly-cloudy-night;0.84;59;72;rain;NA;NA;59;72;NA;0.66;55.88;0.76;6.24;100;4.84
71;2015-12-10;181;clear-day;0.87;54.75;70;rain;NA;NA;54.75;70;NA;NA;53.17;0.74;0.32;94;4.2
72;2015-12-11;0;clear-day;0.9;54;68;rain;NA;NA;54;68;NA;0;50.01;0.69;2.63;259;4.15
73;2015-12-12;0;clear-day;0.93;54;66;rain;NA;NA;54;66;NA;NA;52.11;0.76;3.62;264;4.09
74;2015-12-13;0;clear-day;0.96;57;66.13;rain;NA;NA;57;66.13;NA;NA;53.33;0.75;4.33;281;4.11
75;2015-12-14;0;clear-day;0.99;61;66;rain;NA;NA;61;66;NA;NA;48.66;0.59;8.42;343;4.55
76;2015-12-15;459;clear-day;0.03;61;66;rain;NA;NA;61;66;NA;NA;45.18;0.52;6.73;344;4.45
77;2015-12-16;348;clear-day;0.06;55;64;rain;NA;NA;55;64;NA;NA;45.6;0.6;2.62;201;4.31
78;2015-12-17;0;clear-day;0.1;52;68;rain;NA;NA;52;68;NA;0;44.29;0.59;3.56;241;4.41
79;2015-12-18;0;partly-cloudy-day;0.13;52;63;rain;NA;NA;52;63;NA;0.47;48.15;0.71;4.41;257;4.24
